,record
2524,8481
2525,3584
2526,9223
2527,1152
2528,11374
2529,10573
2530,6738
2531,9265
2532,3373
2533,620
2534,205
2535,1545
2536,1242
2537,1256
2538,4577
2539,2889
2540,13369
2541,1155
2542,4916
2543,4908
2544,11512
2545,10719
2546,515
2547,7825
2548,5040
2549,5121
2550,13250
2551,4081
2552,9041
2553,3041
2554,8265
2555,11044
2556,1531
2557,12515
2558,11076
2559,2488
2560,11042
2561,2475
2562,9674
2563,7634
2564,6128
2565,800
2566,4503
2567,7729
2568,3500
2569,4737
2570,10681
2571,1894
2572,5325
2573,9190
2574,6599
2575,3609
2576,1683
2577,426
2578,6202
2579,8701
2580,9335
2581,12529
2582,9013
2583,9313
2584,1280
2585,12193
2586,11991
2587,9843
2588,11727
2589,2623
2590,5951
2591,9338
2592,6606
2593,5140
2594,2551
2595,12977
2596,748
2597,1397
2598,6045
2599,3185
2600,13278
2601,8380
2602,9010
2603,8497
2604,12594
2605,12900
2606,12106
2607,11599
2608,7394
2609,4613
2610,9497
2611,13341
2612,13594
2613,4196
2614,4165
2615,5141
2616,6758
2617,423
2618,10270
2619,2342
2620,447
2621,9688
2622,2417
2623,1637
2624,5896
2625,6756
2626,5425
2627,8444
2628,9786
2629,12980
2630,11837
2631,11511
2632,122
2633,9592
2634,6598
2635,9760
2636,10520
2637,3743
2638,10591
2639,6408
2640,5208
2641,7328
2642,9927
2643,12170
2644,10200
2645,1440
2646,12674
2647,7987
2648,497
2649,12067
2650,8946
2651,4269
2652,6581
2653,3174
2654,4439
2655,1806
2656,9969
2657,10145
2658,13242
2659,8563
2660,1441
2661,13238
2662,7070
2663,9412
2664,461
2665,11216
2666,7821
2667,3679
2668,581
2669,12438
2670,2218
2671,2145
2672,5123
2673,6441
2674,11063
2675,5421
2676,7424
2677,12658
2678,6634
2679,5124
2680,6443
2681,11768
2682,12527
2683,9988
2684,13305
2685,1292
2686,6427
2687,13431
2688,8413
2689,1680
2690,9722
2691,11828
2692,7016
2693,6292
2694,5932
2695,9024
2696,11297
2697,13401
2698,5209
2699,5624
2700,1932
2701,4854
2702,1349
2703,5952
2704,2554
2705,5846
2706,11844
2707,12019
2708,7237
2709,9549
2710,9890
2711,3438
2712,2976
2713,2793
2714,9189
2715,12488
2716,6288
2717,4237
2718,4773
2719,6645
2720,7804
2721,6631
2722,9940
2723,2059
2724,2079
2725,6077
2726,8550
2727,6328
2728,12187
2729,9362
2730,10162
2731,5892
2732,11007
2733,9736
2734,804
2735,12208
2736,5670
2737,1983
2738,1446
2739,5149
2740,2819
2741,12843
2742,3150
2743,9825
2744,11385
2745,265
2746,5962
2747,5870
2748,13529
2749,6455
2750,13468
2751,12517
2752,10451
2753,1023
2754,10002
2755,5138
2756,12243
2757,261
2758,13084
2759,13309
2760,9100
2761,5211
2762,11013
2763,7034
2764,3506
2765,12600
2766,6943
2767,116
2768,9534
2769,4167
2770,5300
2771,9375
2772,3808
2773,7978
2774,10682
2775,7063
2776,8718
2777,9617
2778,12955
2779,6992
2780,6505
2781,5738
2782,9368
2783,10945
2784,8611
2785,11743
2786,8600
2787,5924
2788,2615
2789,6243
2790,362
2791,9799
2792,10671
2793,1332
2794,7496
2795,318
2796,5961
2797,10881
2798,12852
2799,7035
2800,5999
2801,6011
2802,10512
2803,9595
2804,2796
2805,5915
2806,3604
2807,13266
2808,13118
2809,263
2810,9021
2811,1904
2812,3068
2813,167
2814,7911
2815,9116
2816,6337
2817,5008
2818,11933
2819,4106
2820,8323
2821,6424
2822,768
2823,8033
2824,12024
2825,11073
2826,9327
2827,9057
2828,675
2829,2456
2830,8568
2831,7033
2832,12573
2833,11830
2834,9731
2835,1875
2836,9073
2837,9224
2838,13306
2839,2317
2840,7641
2841,2846
2842,11860
2843,12245
2844,3339
2845,7181
2846,7195
2847,11924
2848,8728
2849,6879
2850,1927
2851,4895
2852,9907
2853,7602
2854,2727
2855,12679
2856,10963
2857,8304
2858,710
2859,6559
2860,10083
2861,2704
2862,8013
2863,6748
2864,8213
2865,7179
2866,5883
2867,7840
2868,9719
2869,11389
2870,7935
2871,6647
2872,10379
2873,12116
2874,10183
2875,1121
2876,10802
2877,7348
2878,10211
2879,1910
2880,11631
2881,8734
2882,9138
2883,11833
2884,14
2885,8042
2886,5343
2887,1627
2888,5565
2889,2556
2890,694
2891,17
2892,9877
2893,4226
2894,749
2895,13557
2896,10420
2897,8172
2898,5854
2899,13624
2900,7617
2901,7383
2902,5228
2903,6941
2904,8321
2905,10049
2906,1725
2907,8818
2908,13473
2909,5312
2910,2678
2911,5879
2912,1629
2913,10857
2914,664
2915,8802
2916,10319
2917,12797
2918,9332
2919,2134
2920,10501
2921,7338
2922,1247
2923,6875
2924,10071
2925,4561
2926,8756
2927,6995
2928,7956
2929,6497
2930,6019
2931,5568
2932,6070
2933,11217
2934,5081
2935,7030
2936,6154
2937,5264
2938,13571
2939,3129
2940,1159
2941,8871
2942,169
2943,2056
2944,835
2945,4309
2946,12954
2947,6398
2948,4876
2949,12933
2950,11990
2951,6989
2952,4334
2953,7688
2954,8362
2955,5333
2956,11683
2957,3994
2958,13530
2959,9950
2960,5379
2961,7560
2962,1815
2963,6484
2964,13295
2965,11643
2966,6432
2967,5693
2968,2717
2969,5057
2970,3172
2971,9579
2972,142
2973,13029
2974,13099
2975,1099
2976,7867
2977,6909
2978,9318
2979,2461
2980,11330
2981,11898
2982,1863
2983,6225
2984,5988
2985,9506
2986,1971
2987,10547
2988,6419
2989,11168
2990,10449
2991,6342
2992,1776
2993,12645
2994,6284
2995,1041
2996,5484
2997,759
2998,11563
2999,12056
3000,10822
3001,9547
3002,11433
3003,3378
3004,11321
3005,4449
3006,7017
3007,7492
3008,13268
3009,2585
3010,1841
3011,2277
3012,11715
3013,6297
3014,2186
3015,8886
3016,3558
3017,2816
3018,11919
3019,7597
3020,8544
3021,5344
3022,9533
3023,9710
3024,13138
3025,4579
3026,7864
3027,6586
3028,3058
3029,5173
3030,8312
3031,6759
3032,11031
3033,11835
3034,12158
3035,829
3036,8783
3037,5148
3038,1107
3039,4609
3040,7725
3041,5218
3042,11428
3043,6618
3044,10841
3045,12617
3046,13165
3047,10208
3048,13192
3049,9611
3050,2297
3051,7869
3052,6177
3053,10366
3054,13629
3055,12640
3056,8077
3057,5158
3058,3880
3059,9209
3060,1278
3061,10707
3062,13267
3063,3400
3064,4163
3065,4524
3066,4667
3067,3563
3068,1874
3069,721
3070,9528
3071,5733
3072,4044
3073,2512
3074,72
3075,8142
3076,2712
3077,3799
3078,8826
3079,3424
3080,6322
3081,7274
3082,11633
3083,3202
3084,9501
3085,9642
3086,6180
3087,6824
3088,4092
3089,11101
3090,2564
3091,4370
3092,9677
3093,2937
3094,10696
3095,5334
3096,5155
3097,11091
3098,11164
3099,8224
3100,2970
3101,6969
3102,9521
3103,1346
3104,13507
3105,13418
3106,9964
3107,10190
3108,4001
3109,11976
3110,8891
3111,10157
3112,2236
3113,13426
3114,580
3115,3729
3116,3768
3117,9174
3118,13568
3119,7519
3120,11927
3121,13089
3122,7153
3123,5369
3124,7998
3125,12304
3126,4012
3127,9958
3128,1976
3129,1825
3130,7949
3131,10072
3132,3136
3133,8935
3134,1552
3135,11241
3136,12668
3137,3089
3138,6232
3139,13288
3140,9297
3141,8570
3142,5542
3143,3561
3144,4292
3145,7247
3146,5348
3147,2924
3148,8696
3149,12787
3150,2933
3151,5833
3152,13249
3153,326
3154,7540
3155,8434
3156,9309
3157,6527
3158,6173
3159,554
3160,7744
3161,12275
3162,12047
3163,6362
3164,10634
3165,8317
3166,3904
3167,11951
3168,1949
3169,4799
3170,1380
3171,8564
3172,9527
3173,820
3174,6678
3175,1499
3176,10387
3177,12291
3178,1619
3179,5146
3180,222
3181,13606
3182,4068
3183,2229
3184,5056
3185,8775
3186,9091
3187,4931
3188,7556
3189,9562
3190,7913
3191,11431
3192,5359
3193,3594
3194,4013
3195,2053
3196,8966
3197,2046
3198,10006
3199,11070
3200,1712
3201,9933
3202,763
3203,99
3204,6978
3205,12110
3206,1542
3207,11999
3208,2908
3209,2828
3210,6592
3211,441
3212,5044
3213,4510
3214,785
3215,76
3216,1007
3217,11507
3218,6899
3219,12993
3220,6345
3221,542
3222,12580
3223,1213
3224,3462
3225,6164
3226,8030
3227,5849
3228,10965
3229,12455
3230,9681
3231,3986
3232,2438
3233,4557
3234,10938
3235,13236
3236,3187
3237,3630
3238,4486
3239,1148
3240,7174
3241,9034
3242,2132
3243,3757
3244,10684
3245,10996
3246,7615
3247,11399
3248,3430
3249,3715
3250,12960
3251,246
3252,898
3253,11079
3254,6266
3255,667
3256,12809
3257,5519
3258,5772
3259,744
3260,13211
3261,7413
3262,9048
3263,11615
3264,11548
3265,2188
3266,6418
3267,6046
3268,6676
3269,11496
3270,5980
3271,11379
3272,9914
3273,13320
3274,1589
3275,9756
3276,10288
3277,5413
3278,8204
3279,7689
3280,1142
3281,9854
3282,5847
3283,11480
3284,5219
3285,11783
3286,10867
3287,7416
3288,7948
3289,4787
3290,4052
3291,4690
3292,9068
3293,9201
3294,997
3295,42
3296,5436
3297,11605
3298,1485
3299,11532
3300,9637
3301,884
3302,10243
3303,7741
3304,1368
3305,7308
3306,1991
3307,11232
3308,11687
3309,9921
3310,3961
3311,12486
3312,12606
3313,10034
3314,760
3315,4997
3316,77
3317,11336
3318,13337
3319,7019
3320,3389
3321,7268
3322,7340
3323,10391
3324,6367
3325,12925
3326,9856
3327,12551
3328,6291
3329,177
3330,1005
3331,7614
3332,9495
3333,6966
3334,700
3335,12195
3336,13390
3337,8221
3338,9269
3339,12227
3340,10360
3341,11331
3342,3309
3343,7300
3344,4265
3345,10782
3346,3592
3347,4200
3348,10590
3349,2284
3350,13566
3351,6693
3352,8565
3353,7115
3354,3796
3355,6830
3356,11000
3357,10398
3358,4110
3359,5233
3360,11773
3361,5685
3362,6694
3363,13554
3364,4251
3365,12507
3366,5099
3367,3491
3368,4427
3369,3397
3370,2763
3371,4375
3372,8691
3373,13580
3374,8624
3375,7624
3376,7303
3377,12058
3378,5746
3379,3222
3380,7538
3381,3088
3382,4146
3383,5426
3384,4321
3385,10098
3386,10760
3387,1906
3388,12630
3389,10526
3390,3505
3391,7142
3392,661
3393,9898
3394,3931
3395,5872
3396,323
3397,12460
3398,11929
3399,7203
3400,8056
3401,11703
3402,8341
3403,9262
3404,7938
3405,3759
3406,5895
3407,8004
3408,11777
3409,5650
3410,8047
3411,8803
3412,9791
3413,1793
3414,7709
3415,762
3416,1978
3417,12610
3418,5224
3419,7039
3420,2571
3421,5659
3422,7838
3423,11887
3424,5863
3425,8536
3426,10499
3427,6102
3428,9848
3429,11107
3430,4778
3431,5488
3432,6637
3433,13184
3434,925
3435,1095
3436,13533
3437,2001
3438,735
3439,5016
3440,3651
3441,2978
3442,8959
3443,4638
3444,353
3445,2368
3446,6500
3447,13382
3448,4872
3449,2080
3450,2761
3451,7520
3452,224
3453,9183
3454,7930
3455,10886
3456,794
3457,5758
3458,405
3459,6918
3460,2448
3461,7852
3462,6644
3463,414
3464,7061
3465,9514
3466,4560
3467,4571
3468,10091
3469,1716
3470,4860
3471,10581
3472,2045
3473,7564
3474,8594
3475,7229
3476,7044
3477,4946
3478,12272
3479,3451
3480,1550
3481,1570
3482,6158
3483,1254
3484,3755
3485,7
3486,5286
3487,8511
3488,6421
3489,1220
3490,1411
3491,8639
3492,6114
3493,5535
3494,5767
3495,2298
3496,9823
3497,7831
3498,8358
3499,8884
3500,4963
3501,13130
3502,9918
3503,8369
3504,6465
3505,10977
3506,9645
3507,10844
3508,7126
3509,1750
3510,695
3511,446
3512,10478
3513,1211
3514,5868
3515,7533
3516,7377
3517,5063
3518,5607
3519,2944
3520,11439
3521,11614
3522,3418
3523,10193
3524,1015
3525,5295
3526,2323
3527,4115
3528,4342
3529,3038
3530,1086
3531,6919
3532,1784
3533,12811
3534,3937
3535,10705
3536,5025
3537,1191
3538,7373
3539,510
3540,1482
3541,5346
3542,2841
3543,12426
3544,2333
3545,10408
3546,10055
3547,10940
3548,2507
3549,8782
3550,3573
3551,1822
3552,3675
3553,12050
3554,9111
3555,12866
3556,12850
3557,12309
3558,9755
3559,5358
3560,2628
3561,10396
3562,8295
3563,10294
3564,12942
3565,1293
3566,12829
3567,145
3568,7763
3569,5317
3570,12278
3571,3436
3572,2634
3573,7053
3574,8281
3575,8164
3576,4411
3577,922
3578,12307
3579,4709
3580,7473
3581,6386
3582,888
3583,13011
3584,10557
3585,7252
3586,8930
3587,4448
3588,2332
3589,7187
3590,7716
3591,242
3592,2470
3593,13562
3594,12673
3595,10736
3596,1689
3597,4497
3598,12893
3599,7218
3600,12239
3601,11521
3602,3113
3603,10622
3604,10806
3605,4051
3606,7014
3607,10713
3608,3109
3609,5547
3610,13054
3611,13348
3612,2413
3613,4771
3614,8089
3615,9306
3616,8643
3617,6635
3618,8702
3619,12210
3620,13294
3621,2032
3622,7918
3623,12770
3624,10702
3625,11746
3626,6466
3627,8402
3628,1157
3629,5943
3630,5546
3631,3281
3632,5646
3633,6667
3634,7589
3635,12746
3636,4698
3637,12018
3638,13293
3639,13632
3640,11425
3641,8710
3642,9574
3643,6602
3644,6569
3645,7698
3646,7163
3647,6696
3648,6931
3649,2216
3650,5458
3651,6665
3652,6311
3653,7891
3654,4565
3655,11958
3656,407
3657,12269
3658,2625
3659,8294
3660,10487
3661,12937
3662,12869
3663,7324
3664,9721
3665,4719
3666,11499
3667,9740
3668,12844
3669,70
3670,7194
3671,10948
3672,4109
3673,2478
3674,6068
3675,11926
3676,2258
3677,7815
3678,1595
3679,7450
3680,11612
3681,7132
3682,5992
3683,5827
3684,10858
3685,5913
3686,183
3687,6435
3688,12127
3689,5142
3690,3739
3691,2961
3692,9270
3693,3439
3694,6593
3695,9359
3696,12581
3697,9203
3698,11154
3699,7850
3700,9228
3701,8117
3702,3719
3703,7332
3704,5884
3705,12042
3706,12440
3707,3969
3708,8334
3709,2920
3710,3461
3711,2613
3712,7947
3713,2221
3714,2347
3715,6182
3716,7666
3717,5079
3718,8158
3719,4148
3720,412
3721,12578
3722,979
3723,8090
3724,1779
3725,7463
3726,5796
3727,10060
3728,10574
3729,11224
3730,13520
3731,67
3732,13579
3733,6534
3734,2684
3735,1796
3736,10479
3737,4223
3738,5522
3739,12676
3740,9661
3741,7330
3742,5166
3743,1423
3744,9554
3745,10486
3746,10793
3747,3537
3748,2409
3749,4768
3750,10619
3751,4978
3752,6982
3753,7292
3754,13503
3755,4885
3756,10464
3757,3629
3758,4929
3759,3429
3760,11792
3761,7583
3762,11014
3763,7832
3764,159
3765,12958
3766,1920
3767,10011
3768,8446
3769,6047
3770,8519
3771,3380
3772,6261
3773,1909
3774,12628
3775,11808
3776,11353
3777,8638
3778,5821
3779,2067
3780,6379
3781,12889
3782,868
3783,6147
3784,2035
3785,11025
3786,6246
3787,11208
3788,9924
3789,1081
3790,9709
3791,866
3792,11941
3793,3807
3794,13214
3795,2162
3796,11676
3797,1706
3798,10701
3799,13329
3800,378
3801,12772
3802,11274
3803,13164
3804,9026
3805,2540
3806,6682
3807,1940
3808,11277
3809,12120
3810,1888
3811,6548
3812,9445
3813,6562
3814,5910
3815,7803
3816,9814
3817,5584
3818,10424
3819,4009
3820,3922
3821,7971
3822,10229
3823,10971
3824,4208
3825,1051
3826,8761
3827,10896
3828,9500
3829,4943
3830,3730
3831,12480
3832,951
3833,11654
3834,5858
3835,5226
3836,13604
3837,4341
3838,356
3839,3286
3840,9
3841,11313
3842,806
3843,5628
3844,4536
3845,12635
3846,11503
3847,8429
3848,5022
3849,9387
3850,9538
3851,11003
3852,12201
3853,6787
3854,13087
3855,12150
3856,6146
3857,4124
3858,973
3859,3412
3860,4053
3861,182
3862,9580
3863,8692
3864,631
3865,6555
3866,2780
3867,9393
3868,3512
3869,758
3870,963
3871,2813
3872,6450
3873,2011
3874,7679
3875,12575
3876,6878
3877,1644
3878,3676
3879,1027
3880,3087
3881,3669
3882,8689
3883,10828
3884,3971
3885,3162
3886,6929
3887,6361
3888,7845
3889,11183
3890,3701
3891,9216
3892,12782
3893,114
3894,10744
3895,737
3896,9210
3897,12352
3898,5626
3899,4590
3900,11964
3901,10732
3902,11037
3903,9349
3904,6746
3905,9413
3906,9274
3907,5770
3908,6804
3909,4099
3910,11115
3911,4495
3912,5728
3913,13351
3914,2254
3915,8417
3916,13283
3917,1049
3918,7449
3919,5449
3920,13475
3921,3870
3922,11824
3923,4820
3924,2212
3925,4374
3926,4781
3927,7150
3928,11947
3929,13195
3930,6702
3931,3434
3932,11469
3933,12815
3934,593
3935,10295
3936,9439
3937,13510
3938,7092
3939,2303
3940,1463
3941,11475
3942,8659
3943,12812
3944,2968
3945,5103
3946,12206
3947,1233
3948,10046
3949,9248
3950,575
3951,10586
3952,5672
3953,4570
3954,5498
3955,6326
3956,12585
3957,1917
3958,9172
3959,10474
3960,6140
3961,10014
3962,2339
3963,2996
3964,2839
3965,10890
3966,1435
3967,943
3968,708
3969,6254
3970,9555
3971,1800
3972,4125
3973,5582
3974,7571
3975,7374
3976,11730
3977,13031
3978,5323
3979,1166
3980,6332
3981,10107
3982,3939
3983,11509
3984,13021
3985,8088
3986,6845
3987,58
3988,8780
3989,8777
3990,10423
3991,11954
3992,11062
3993,9009
3994,4420
3995,584
3996,9695
3997,7170
3998,13578
3999,1656
4000,11275
4001,12052
4002,4036
4003,4082
4004,3381
4005,10902
4006,4006
4007,8006
4008,8655
4009,9276
4010,1071
4011,2361
4012,2748
4013,11118
4014,9122
4015,529
4016,3902
4017,5494
4018,2607
4019,1025
4020,5133
4021,8989
4022,5918
4023,10673
4024,11032
4025,11748
4026,12859
4027,792
4028,2356
4029,3812
4030,5617
4031,10275
4032,7541
4033,10625
4034,1566
4035,4722
4036,5785
4037,12990
4038,12805
4039,10064
4040,9234
4041,8736
4042,1996
4043,2906
4044,10953
4045,2276
4046,8078
4047,2859
4048,9728
4049,9367
4050,6604
4051,7264
4052,10259
4053,8496
4054,6054
4055,1396
4056,10679
4057,2406
4058,5050
4059,9911
4060,3926
4061,13480
4062,5414
4063,1597
4064,939
4065,10678
4066,673
4067,2990
4068,4154
4069,11669
4070,8844
4071,1829
4072,1963
4073,11734
4074,12964
4075,8175
4076,6368
4077,7619
4078,10076
4079,11451
4080,6293
4081,11957
4082,2350
4083,3943
4084,13002
4085,2577
4086,638
4087,6563
4088,2706
4089,5038
4090,8879
4091,10730
4092,1179
4093,634
4094,12092
4095,6338
4096,7739
4097,5119
4098,5136
4099,12747
4100,11579
4101,306
4102,3468
4103,4935
4104,4530
4105,879
4106,7329
4107,10879
4108,1660
4109,10403
4110,1632
4111,12534
4112,1681
4113,8860
4114,12648
4115,4990
4116,10711
4117,6217
4118,8424
4119,6510
4120,65
4121,4228
4122,7262
4123,9981
4124,2496
4125,2683
4126,8259
4127,2320
4128,13287
4129,11617
4130,2005
4131,2226
4132,5386
4133,2125
4134,109
4135,2249
4136,2952
4137,10606
4138,5564
4139,4932
4140,4207
4141,5505
4142,11210
4143,8880
4144,225
4145,13116
4146,3560
4147,10550
4148,6864
4149,9171
4150,3658
4151,4608
4152,3533
4153,5632
4154,9935
4155,6145
4156,2172
4157,12801
4158,5754
4159,5287
4160,11016
4161,5422
4162,1064
4163,7626
4164,10488
4165,2957
4166,2164
4167,4179
4168,9329
4169,795
4170,13376
4171,9219
4172,7517
4173,2899
4174,10384
4175,3181
4176,5316
4177,6572
4178,13150
4179,11725
4180,1525
4181,5954
4182,5810
4183,920
4184,5059
4185,9232
4186,9059
4187,8528
4188,4952
4189,3947
4190,8747
4191,1492
4192,13518
4193,3909
4194,7296
4195,5049
4196,12816
4197,5125
4198,6788
4199,11761
4200,4699
4201,11874
4202,13387
4203,3016
4204,3053
4205,6727
4206,8126
4207,3124
4208,4217
4209,13260
4210,10763
4211,10976
4212,11523
4213,10044
4214,3355
4215,1473
4216,7800
4217,7601
4218,4970
4219,6996
4220,7379
4221,12125
4222,2390
4223,2974
4224,2068
4225,10925
4226,1824
4227,8717
4228,10666
4229,4673
4230,5841
4231,4611
4232,2875
4233,13410
4234,10514
4235,8061
4236,660
4237,1797
4238,9837
4239,7313
4240,4421
4241,839
4242,4240
4243,12237
4244,4933
4245,66
4246,11201
4247,5222
4248,13204
4249,10825
4250,1720
4251,722
4252,2008
4253,13319
4254,332
4255,8134
4256,9789
4257,10492
4258,9542
4259,5007
4260,13051
4261,11757
4262,5855
4263,8379
4264,11721
4265,1598
4266,9298
4267,1604
4268,13299
4269,9097
4270,5114
4271,4173
4272,2897
4273,2600
4274,4744
4275,9294
4276,9394
4277,4331
4278,9941
4279,12971
4280,9965
4281,8473
4282,9802
4283,7113
4284,2959
4285,8256
4286,10525
4287,8252
4288,1880
4289,3654
4290,3186
4291,6925
4292,10683
4293,11488
4294,924
4295,6334
4296,10712
4297,9571
4298,994
4299,12899
4300,7271
4301,1892
4302,3780
4303,8049
4304,8787
4305,6988
4306,8769
4307,9967
4308,4045
4309,2251
4310,9966
4311,13314
4312,12007
4313,4369
4314,2803
4315,11317
4316,6999
4317,7506
4318,7500
4319,11202
4320,6430
4321,10176
4322,5069
4323,10320
4324,10612
4325,11392
4326,7859
4327,10747
4328,4754
4329,3370
4330,7025
4331,3832
4332,630
4333,9347
4334,10299
4335,8765
4336,13524
4337,3128
4338,3813
4339,11457
4340,11126
4341,11171
4342,10635
4343,12433
4344,9537
4345,3958
4346,7748
4347,1132
4348,10004
4349,9997
4350,8388
4351,11546
4352,7359
4353,8058
4354,13075
4355,4477
4356,12836
4357,5982
4358,728
4359,11979
4360,11539
4361,547
4362,9616
4363,5665
4364,5154
4365,6785
4366,9355
4367,10893
4368,2593
4369,4407
4370,5844
4371,10000
4372,3157
4373,2751
4374,3394
4375,2243
4376,12437
4377,5109
4378,9416
4379,4308
4380,7608
4381,9094
4382,882
4383,4725
4384,9124
4385,3051
4386,9169
4387,4131
4388,8174
4389,11199
4390,12363
4391,3005
4392,5704
4393,678
4394,5291
4395,379
4396,10646
4397,8050
4398,5926
4399,12495
4400,9813
4401,1118
4402,7683
4403,310
4404,10156
4405,1624
4406,13108
4407,6951
4408,7703
4409,11099
4410,5466
4411,8482
4412,3776
4413,787
4414,6651
4415,4089
4416,5433
4417,11823
4418,5452
4419,4347
4420,7200
4421,10926
4422,10943
4423,5293
4424,10741
4425,9657
4426,7746
4427,7148
4428,7256
4429,1401
4430,8629
4431,3386
4432,1089
4433,3691
4434,4214
4435,3368
4436,4312
4437,12232
4438,4701
4439,3015
4440,5301
4441,3071
4442,3974
4443,7054
4444,7999
4445,3682
4446,3891
4447,6492
4448,389
4449,9567
4450,1372
4451,8065
4452,4891
4453,13166
4454,2912
4455,6625
4456,12637
4457,4107
4458,7226
4459,3645
4460,2381
4461,12984
4462,11067
4463,12220
4464,12543
4465,13232
4466,6352
4467,7091
4468,3540
4469,6729
4470,8035
4471,13100
4472,716
4473,4127
4474,12504
4475,3648
4476,1671
4477,7827
4478,104
4479,535
4480,9418
4481,1186
4482,8167
4483,4270
4484,9975
4485,259
4486,8092
4487,8890
4488,13633
4489,12006
4490,11520
4491,12698
4492,11205
4493,1313
4494,7980
4495,1378
4496,5398
4497,373
4498,10584
4499,753
4500,1290
4501,7031
4502,672
4503,3152
4504,1429
4505,7270
4506,12222
4507,7380
4508,5864
4509,8345
4510,12868
4511,8151
4512,202
4513,9273
4514,9261
4515,3372
4516,12074
4517,6680
4518,2273
4519,5257
4520,12452
4521,6513
4522,13000
4523,1229
4524,1359
4525,4658
4526,7202
4527,7846
4528,381
4529,2992
4530,8244
4531,12354
4532,7404
4533,1047
4534,940
4535,180
4536,9618
4537,9779
4538,3623
4539,5311
4540,10087
4541,2457
4542,8970
4543,12004
4544,1224
4545,10648
4546,8663
4547,12305
4548,8460
4549,12720
4550,3457
4551,4957
4552,1805
4553,7550
4554,7177
4555,11799
4556,6890
4557,7562
4558,2808
4559,1066
4560,12938
4561,11673
4562,6075
4563,6119
4564,3353
4565,9673
4566,8773
4567,11967
4568,2133
4569,10335
4570,13634
4571,13409
4572,10163
4573,9922
4574,1812
4575,9832
4576,10048
4577,4141
4578,11156
4579,8937
4580,6884
4581,2858
4582,10952
4583,1222
4584,10652
4585,3924
4586,12168
4587,8799
4588,3255
4589,1174
4590,12403
4591,5973
4592,12764
4593,5351
4594,5566
4595,2771
4596,12756
4597,13095
4598,2426
4599,7076
4600,6341
4601,11916
4602,10935
4603,367
4604,623
4605,1692
4606,321
4607,5771
4608,1520
4609,9358
4610,3582
4611,2449
4612,4093
4613,11805
4614,13343
4615,12716
4616,1646
4617,7391
4618,2515
4619,2697
4620,7635
4621,2693
4622,3614
4623,6642
4624,5134
4625,12596
4626,4172
4627,6902
4628,11875
4629,9570
4630,10967
4631,8373
4632,5366
4633,4912
4634,5861
4635,11960
4636,10810
4637,5724
4638,10910
4639,2814
4640,4472
4641,7389
4642,2374
4643,3878
4644,9809
4645,1980
4646,3888
4647,5503
4648,10135
4649,11186
4650,8447
4651,751
4652,3416
4653,8573
4654,13321
4655,8625
4656,2574
4657,5860
4658,7637
4659,5719
4660,1898
4661,9803
4662,2746
4663,4682
4664,276
4665,5410
4666,10969
4667,5677
4668,11519
4669,10636
4670,4887
4671,5652
4672,6092
4673,2879
4674,7349
4675,524
4676,5490
4677,7452
4678,3253
4679,3632
4680,9488
4681,3863
4682,4730
4683,10328
4684,11390
4685,5377
4686,6766
4687,9163
4688,4059
4689,6188
4690,3910
4691,13362
4692,8374
4693,4113
4694,10311
4695,6014
4696,8297
4697,12742
4698,1308
4699,5474
4700,6629
4701,11559
4702,251
4703,4181
4704,5623
4705,6776
4706,7854
4707,10101
4708,11092
4709,3097
4710,11481
4711,1126
4712,12684
4713,2843
4714,9343
4715,11855
4716,10527
4717,2538
4718,390
4719,3107
4720,9411
4721,7415
4722,11848
4723,11842
4724,11647
4725,1294
4726,8735
4727,9131
4728,3007
4729,8539
4730,3966
4731,3964
4732,9395
4733,1508
4734,11661
4735,4225
4736,2932
4737,904
4738,7365
4739,2138
4740,11140
4741,2770
4742,13327
4743,8796
4744,1074
4745,1911
4746,8425
4747,3321
4748,5526
4749,7871
4750,7665
4751,7878
4752,640
4753,12459
4754,1707
4755,6129
4756,7778
4757,6579
4758,10201
4759,10724
4760,8586
4761,614
4762,8490
4763,11993
4764,3872
4765,3956
4766,3949
4767,8086
4768,8810
4769,11584
4770,7418
4771,1194
4772,12119
4773,3867
4774,4904
4775,7733
4776,11229
4777,7074
4778,2642
4779,2015
4780,11402
4781,424
4782,4000
4783,4319
4784,9145
4785,7706
4786,12694
4787,1400
4788,12343
4789,3843
4790,844
4791,6495
4792,3110
4793,8721
4794,2148
4795,12156
4796,2570
4797,6650
4798,10061
4799,1263
4800,6059
4801,8024
4802,9115
4803,2773
4804,5315
4805,12541
4806,3625
4807,7880
4808,2817
4809,4482
4810,6071
4811,12432
4812,8928
4813,4366
4814,2436
4815,3566
4816,13621
4817,6037
4818,4956
4819,7755
4820,13535
4821,13513
4822,5936
4823,5853
4824,12872
4825,3422
4826,11242
4827,8866
4828,4896
4829,1734
4830,4801
4831,12657
4832,2495
4833,4636
4834,12736
4835,4138
4836,3091
4837,12226
4838,420
4839,8727
4840,12474
4841,10371
4842,2973
4843,10354
4844,12399
4845,4907
4846,10934
4847,10995
4848,9300
4849,4296
4850,6401
4851,5361
4852,8016
4853,9396
4854,5091
4855,5447
4856,12253
4857,2194
4858,10409
4859,9720
4860,13373
4861,8634
4862,875
4863,9161
4864,11072
4865,12371
4866,7204
4867,3048
4868,2477
4869,10325
4870,814
4871,1944
4872,8793
4873,13346
4874,1856
4875,13202
4876,7528
4877,4174
4878,9607
4879,9357
4880,10165
4881,2506
4882,13210
